,109,12608,13573,18033,19595,20877,21289,23210,23333,23456,23579,23702,23958,24978,27440,29204,32025,32473,32918,33363,33808,34253,34698,35143,35588,35972,44338,46784,47836,49123,49330,50986,51193,51400,51607,52659,53724,56635,57015,57300,57798,58047,58545,58794,60553,60921,61139,61357,61575,63319,63537,63755,63973,64191,64409,65503,65832,66161,66490,66825,67452,67867,68974,69397,69820,71867,72882,74100,76062,76421,76618,76815,80445,80905,81365,81825,82285,86425,86885,87345,87805,88265,89185,90105,90565,92048,94467,96203,98546,98915
Model_Scenario,AIM/CGE 2.0ADVANCE_2020_1.5C-2100,AIM/CGE 2.0SSP1-19,AIM/CGE 2.0SSP2-19,AIM/CGE 2.1CD-LINKS_NPi2020_400,AIM/CGE 2.1EMF33_WB2C_cost100,AIM/CGE 2.1TERL_15D_LowCarbonTransportPolicy,AIM/CGE 2.1TERL_15D_NoTransportPolicy,C-ROADS-5.005Ratchet-1.5-allCDR,C-ROADS-5.005Ratchet-1.5-limCDR,C-ROADS-5.005Ratchet-1.5-limCDR-noOS,C-ROADS-5.005Ratchet-1.5-noCDR,C-ROADS-5.005Ratchet-1.5-noCDR-noOS,GCAM 4.2SSP1-19,GCAM 4.2SSP2-19,GCAM 4.2SSP5-19,IMAGE 3.0.1ADVANCE_2020_1.5C-2100,IMAGE 3.0.1CD-LINKS_NPi2020_400,IMAGE 3.0.1IMA15-AGInt,IMAGE 3.0.1IMA15-Def,IMAGE 3.0.1IMA15-Eff,IMAGE 3.0.1IMA15-LiStCh,IMAGE 3.0.1IMA15-LoNCO2,IMAGE 3.0.1IMA15-Pop,IMAGE 3.0.1IMA15-RenElec,IMAGE 3.0.1IMA15-TOT,IMAGE 3.0.1SSP1-19,MERGE-ETL 6.0DAC15_50,MESSAGE-GLOBIOM 1.0ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0ADVANCE_2030_Price1.5C,MESSAGE-GLOBIOM 1.0EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0EMF33_WB2C_cost100,MESSAGE-GLOBIOM 1.0EMF33_WB2C_full,MESSAGE-GLOBIOM 1.0EMF33_WB2C_limbio,MESSAGE-GLOBIOM 1.0EMF33_WB2C_nofuel,MESSAGE-GLOBIOM 1.0SSP1-19,MESSAGE-GLOBIOM 1.0SSP2-19,MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_400,MESSAGEix-GLOBIOM 1.0LowEnergyDemand,POLES ADVANCEADVANCE_2020_1.5C-2100,POLES ADVANCEADVANCE_2020_WB2C,POLES ADVANCEADVANCE_2030_1.5C-2100,POLES ADVANCEADVANCE_2030_Price1.5C,POLES ADVANCEADVANCE_2030_WB2C,POLES CD-LINKSCD-LINKS_NPi2020_400,POLES EMF33EMF33_1.5C_cost100,POLES EMF33EMF33_1.5C_full,POLES EMF33EMF33_1.5C_limbio,POLES EMF33EMF33_1.5C_nofuel,POLES EMF33EMF33_WB2C_cost100,POLES EMF33EMF33_WB2C_full,POLES EMF33EMF33_WB2C_limbio,POLES EMF33EMF33_WB2C_nobeccs,POLES EMF33EMF33_WB2C_nofuel,POLES EMF33EMF33_WB2C_none,REMIND 1.5EMC_Def_100$,REMIND 1.5EMC_LimSW_100$,REMIND 1.5EMC_NucPO_100$,REMIND 1.5EMC_lowEI_100$,REMIND 1.7ADVANCE_2020_1.5C-2100,REMIND 1.7ADVANCE_2030_1.5C-2100,REMIND 1.7ADVANCE_2030_Price1.5C,REMIND 1.7CEMICS-1.5-CDR12,REMIND 1.7CEMICS-1.5-CDR20,REMIND 1.7CEMICS-1.5-CDR8,REMIND-MAgPIE 1.5SSP1-19,REMIND-MAgPIE 1.5SSP2-19,REMIND-MAgPIE 1.5SSP5-19,REMIND-MAgPIE 1.7-3.0CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0EMF33_1.5C_cost100,REMIND-MAgPIE 1.7-3.0EMF33_1.5C_full,REMIND-MAgPIE 1.7-3.0EMF33_1.5C_nofuel,REMIND-MAgPIE 1.7-3.0PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0SMP_1p5C_Def,REMIND-MAgPIE 1.7-3.0SMP_1p5C_Sust,REMIND-MAgPIE 1.7-3.0SMP_1p5C_early,REMIND-MAgPIE 1.7-3.0SMP_1p5C_lifesty,REMIND-MAgPIE 1.7-3.0SMP_1p5C_regul,REMIND-MAgPIE 1.7-3.0SMP_2C_Sust,REMIND-MAgPIE 1.7-3.0SMP_2C_lifesty,REMIND-MAgPIE 1.7-3.0SMP_2C_regul,WITCH-GLOBIOM 3.1SSP1-19,WITCH-GLOBIOM 3.1SSP4-19,WITCH-GLOBIOM 4.2ADVANCE_2020_1.5C-2100,WITCH-GLOBIOM 4.4CD-LINKS_NPi2020_1000,WITCH-GLOBIOM 4.4CD-LINKS_NPi2020_400
Variable,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2,Emissions|CO2
Unit,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr,Mt CO2/yr
"cumulative CO2 emissions (2016 to netzero, Gt CO2)",650.3389788,638.0186503,692.2620060100002,620.3490309,844.3110234999999,618.1384870000002,651.0622815,899.5049500000001,799.2557284,499.921366,646.111238,485.153748,684.7482292946501,821.1516525964,782.0467721350001,676.9796536719999,671.9871071985101,653.3599276479999,601.4330010632001,585.0170712560001,610.1666462329998,705.55323932498,660.1698143218,612.3242924589999,547.6553565308401,568.1610786625001,924.24937,685.2872759394002,1021.81184915735,606.8802385803,607.9589486166999,930.6893179731,927.7734723448399,793.7066153289999,908.5318059466999,774.0687112595,771.7751795094,751.2711975804999,642.68717493742,719.0820868975,1033.056095035,831.9419283000001,861.2977237375,1078.90830536,762.5349787277,519.8015062946201,548.6975098051998,449.2231127263001,490.3504670316,842.6176332735,853.8543617309999,778.7041518276758,717.534247443675,830.0398776139998,713.6042375720998,609.7771940759001,639.9727306525,608.8194357270002,562.7569980415001,744.2880658,943.5793770399999,1008.22371362,659.8242089,824.7867533,570.0186785,788.3034999999999,773.5762000000001,979.6616000000001,736.2619453799999,930.4545546999999,921.6458473,831.9624232,1024.12051826,762.539647,942.8130924,897.4169227,538.738256,685.5267063200001,477.4275114,484.8360486000001,673.7319438000001,589.40641974,803.7573303499997,977.90755161,900.3400424,560.28595162585,630.128557598,622.1435574644998,893.2288076945,602.971531671
2005,34018.8847,34373.9345,34373.9345,32974.8985,32974.8985,32974.8985,32974.8985,33397.2,33397.2,33397.2,33397.2,33397.2,31887.31467,31887.313860000002,31887.31537,33169.332689999996,33098.41276,33224.43653,33242.7627,33243.81185,33257.85905,33238.6377,33238.6377,33238.38347,33242.43327,33166.07422,40695.8,37633.64162,37640.22657,37547.0345,37547.0345,37547.0345,37547.0345,37547.0345,37547.0345,37720.751189999995,37767.24183,35933.0697,36073.78658,31803.05425,31803.05425,31803.05425,31803.05425,31803.05425,30273.933589999997,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,30911.81445,33845.74219,33845.74219,33845.74219,33845.74219,36193.6379,36193.6379,36193.6379,36193.6379,36193.6379,36193.6379,35250.0,35090.0,35280.0,33799.5813,33370.29,33370.29,33370.29,33796.6401,33796.6401,33794.2839,33794.2839,33800.937999999995,33780.2776,33780.2776,33780.2776,33780.2776,33780.2776,33780.2776,33780.2776,33780.2776,31922.04435,31922.04435,31743.82847,32849.4366,32849.4366
2006,34844.89706,34655.6773,35140.229640000005,33161.984800000006,33944.803980000004,33159.77534,33275.415680000006,34113.479999999996,34113.479999999996,34113.479999999996,34113.479999999996,34113.479999999996,32664.949358,32664.945304,32664.94756,33645.308275999996,33525.604492,33732.967388,33747.42494,33748.3903,33768.3056,33745.277217999996,33745.277217999996,33750.207884,33759.619468000004,33630.625132,40903.5,38122.599572,38127.99083,38056.585258,38056.585258,38056.585258,38056.585258,38056.585258,38056.585258,38229.726555999994,38276.49387,36454.859392,36567.436728,32413.125676,32413.125676,32413.125676,32413.125676,32413.125676,30901.204683999997,31538.48281,31538.48281,31538.482028000002,31538.48281,31538.48281,31538.48281,31538.48281,31538.48281,31538.48281,31538.48281,34561.202346,34561.202346,34561.202346,34561.202346,36723.49592,36723.49592,36723.49592,36980.32936,36980.32936,36980.32936,35450.0,35474.0,35498.0,34328.8433,33862.41924,33866.50296,33864.932160000004,34519.41366,34480.848079999996,34450.98936,34450.98936,34519.95948,34762.50944,34728.35644,34759.4944,34756.64808,34763.50706,34760.95944,34755.34406,34762.11836,32598.313032000002,32598.313032000002,32206.48056,33414.37344,33414.37344
2007,35670.90942,34937.4201,35906.52478,33349.0711,34914.709460000005,33344.652180000005,33575.93286,34829.759999999995,34829.759999999995,34829.759999999995,34829.759999999995,34829.759999999995,33442.584046,33442.576748,33442.579750000004,34121.283862,33952.796224,34241.498245999996,34252.08718,34252.96875,34278.75215,34251.916736,34251.916736,34262.032298,34276.805666,34095.176044,41111.200000000004,38611.557524,38615.75509,38566.136016,38566.136016,38566.136016,38566.136016,38566.136016,38566.136016,38738.70192199999,38785.74591,36976.649084,37061.086876,33023.197102,33023.197102,33023.197102,33023.197102,33023.197102,31528.475778,32165.15117,32165.15117,32165.149606000003,32165.15117,32165.15117,32165.15117,32165.15117,32165.15117,32165.15117,32165.15117,35276.662502,35276.662502,35276.662502,35276.662502,37253.35394,37253.35394,37253.35394,37767.020820000005,37767.020820000005,37767.020820000005,35650.0,35858.0,35716.0,34858.1053,34354.54848,34362.71592,34359.57432,35242.18722,35165.056059999995,35107.69482,35107.69482,35238.98096,35744.74128,35676.43528,35738.7112,35733.01856,35746.73652,35741.64128,35730.410520000005,35743.95912,33274.581714,33274.581714,32669.13265,33979.31028,33979.31028
2008,36496.92178,35219.1629,36672.81992,33536.157400000004,35884.61494,33529.52902,33876.45004,35546.04,35546.04,35546.04,35546.04,35546.04,34220.218734,34220.208192000006,34220.21194,34597.259448,34379.987956,34750.029104,34756.74942,34757.5472,34789.1987,34758.556253999996,34758.556253999996,34773.856712,34793.991864,34559.726956000006,41318.9,39100.515476,39103.51935,39075.686774,39075.686774,39075.686774,39075.686774,39075.686774,39075.686774,39247.677288,39294.997950000004,37498.438776,37554.737023999995,33633.268528,33633.268528,33633.268528,33633.268528,33633.268528,32155.746872,32791.81953,32791.81953,32791.817184,32791.81953,32791.81953,32791.81953,32791.81953,32791.81953,32791.81953,32791.81953,35992.122658,35992.122658,35992.122658,35992.122658,37783.21196,37783.21196,37783.21196,38553.71228,38553.71228,38553.71228,35850.0,36242.0,35934.0,35387.3673,34846.67772,34858.92888,34854.21648,35964.960779999994,35849.26404,35764.40028,35764.40028,35958.00244,36726.97312,36624.51412,36717.928,36709.38904,36729.96598,36722.32312,36705.47698,36725.79988,33950.850396,33950.850396,33131.78474,34544.24712,34544.24712
2009,37322.93414,35500.9057,37439.11506,33723.2437,36854.52042,33714.405860000006,34176.96722,36262.32,36262.32,36262.32,36262.32,36262.32,34997.85342200001,34997.839636000004,34997.84413,35073.235034,34807.179688,35258.559962,35261.411660000005,35262.12565,35299.64525,35265.195772,35265.195772,35285.681125999996,35311.178062,35024.277868000005,41526.600000000006,39589.473428000005,39591.28361,39585.237532,39585.237532,39585.237532,39585.237532,39585.237532,39585.237532,39756.652654,39804.249990000004,38020.228468,38048.387171999995,34243.339953999995,34243.339953999995,34243.339953999995,34243.339953999995,34243.339953999995,32783.017966,33418.487890000004,33418.487890000004,33418.484762,33418.487890000004,33418.487890000004,33418.487890000004,33418.487890000004,33418.487890000004,33418.487890000004,33418.487890000004,36707.582814,36707.582814,36707.582814,36707.582814,38313.06998,38313.06998,38313.06998,39340.40374,39340.40374,39340.40374,36050.0,36626.0,36152.0,35916.6293,35338.806959999994,35355.141840000004,35348.85864,36687.734339999995,36533.47202,36421.10574,36421.10574,36677.02392,37709.20496,37572.592959999994,37697.144799999995,37685.75952,37713.195439999996,37703.004960000006,37680.54344,37707.64064,34627.119078,34627.119078,33594.43683,35109.183959999995,35109.183959999995
